Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,6.98,27.99,1.7,48.2,50.1,33.150080467424,2.91,0.908502,0.7045110000000001,31.22,24.210000000000004,1.3635373739972745,0.6463186411460095,0.5332782660804238
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,6.07,73.91,0.02,36.36,63.62,66.9044832158811,2.06,0.791452,0.555582,38.42,26.97,1.1184149159642893,0.5830264642138634,0.44184975213454086
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,5.87,43.02,0.65,25.98,73.37,37.97612735550134,1.25,0.631875,0.5539999999999999,50.55,44.31999999999999,0.8109302162163288,0.4897296604712562,0.44083225194545567
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,6.01,66.52,0.51,19.77,79.71,67.56983208843012,1.68,0.5883360000000001,0.523824,35.02000000000001,31.179999999999996,0.9858167945227653,0.46268692734535577,0.4212229650311788
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,5.75,46.44,0.02,22.2,77.78,63.90622943370554,2.39,0.580531,0.544442,24.29,22.779999999999998,1.220829921392359,0.4577608665273704,0.43466268006536124
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,6.76,16.73,6.32,34.4,59.28,27.45,2.58,2.366118,0.7618740000000002,91.71000000000001,29.530000000000005,1.275362800412609,1.2137601516009726,0.566378015308924
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,7.49,0.64,5.72,19.63,74.64,29.38,0.59,0.190098,0.2584199999999999,32.22,43.79999999999999,0.4637340162321401,0.17403565667379717,0.22985696583334683
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,7.6,2.07,7.43,27.97,64.6,37.96,1.51,0.91053,0.62665,60.3,41.5,0.9202827531436926,0.6473806904771608,0.4865226852428172
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,6.3,4.32,6.6,20.88,68.95,32.79,154.03,90.662058,59.31695299999999,58.86,38.50999999999999,5.04361864657827,4.518108531370927,4.099613208498099
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,8.49,4.6,2.76,10.82,86.41,14.81,0.8,0.4892,0.33056,61.150000000000006,41.32,0.5877866649021191,0.39823906301642475,0.2855999062474564
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,8.44,3.79,4.16,14.8,81.09,32.7,0.27,0.131193,0.08923500000000001,48.59,33.050000000000004,0.23901690047049992,0.1232728280222129,0.08547561497728452
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,5.25,3.31,0.72,30.72,68.55,24.42,5.58,4.39146,2.6784000000000003,78.7,48.00000000000001,1.884034745337226,1.6848162202268708,1.3024778750267803
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,7.38,4.14,5.74,20.01,74.26,19.81,6.04,5.617804,3.854728,93.00999999999999,63.82,1.951608170169951,1.8897635928626049,1.5799530754570583
3.0,应用SHIME模型研究肠道微生物对土壤中镉、铬、镍生物可给性的影响,Agricultural soils,PBET,2.2,3.9,3.3,60.93784116260197,31.03156395134962,129.4,33.1,8.1095,,24.5,,3.529297384289471,2.2093178250236027,
3.0,应用SHIME模型研究肠道微生物对土壤中镉、铬、镍生物可给性的影响,Agricultural soils,PBET,3.1,1.7,8.0,61.42995918313314,28.88901898030601,66.9,332.9,91.21459999999999,,27.4,,5.810841546949609,4.5241184694362655,
3.0,应用SHIME模型研究肠道微生物对土壤中镉、铬、镍生物可给性的影响,Agricultural soils,PBET,7.6,2.5,19.3,50.35069365091399,33.14633301499897,51.2,31.0,5.425,,17.5,,3.4657359027997265,1.8601966307812834,
3.0,应用SHIME模型研究肠道微生物对土壤中镉、铬、镍生物可给性的影响,Agricultural soils,PBET,5.8,0.9,31.3,46.63684464276304,21.41736447859544,35.5,5.3,1.3621,,25.7,,1.840549633397487,0.8595510538815252,
3.0,应用SHIME模型研究肠道微生物对土壤中镉、铬、镍生物可给性的影响,Agricultural soils,PBET,5.6,3.7,3.1,59.50050438217419,33.83732658642598,22.3,4.8,3.0,,62.5,,1.7578579175523736,1.3862943611198906,
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,5.54,1.551724137931035,22.69,43.25,34.07,37.02885901426362,1.65,0.780615,0.071445,47.31,4.33,0.9745596399981308,0.5769588102486498,0.06900820470273043
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,5.15,0.913793103448276,31.72,46.69,21.59,38.92384760120313,1.0,0.5764,0.0932,57.64,9.32,0.6931471805599453,0.45514376633871156,0.0891091750717759
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,4.96,3.103448275862069,6.44,63.21,30.35,50.2082785982016,1.6,0.11216,0.5688,7.01,35.55,0.9555114450274363,0.10630407037003871,0.45031099589999946
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.48,2.793103448275863,1.7,60.41,37.89,55.10043151607534,0.4,0.07264,0.06352000000000001,18.159999999999997,15.879999999999999,0.33647223662121295,0.07012289943147178,0.06158416131113467
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.52,3.637931034482758,1.79,66.72,31.49,58.36615377767671,0.6,0.11046,0.04955999999999999,18.41,8.26,0.4700036292457356,0.10477434389272013,0.04837102872539477
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.43,6.362068965517242,2.29,65.39,32.32,58.255512551847,3.05,0.39101,0.043919999999999994,12.82,1.44,1.3987168811184478,0.33003010198807425,0.042982858171854356
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,9.29,0.1724137931034483,3.41,60.0,36.59,55.19298066921386,0.55,0.179575,0.08195000000000001,32.65,14.899999999999999,0.4382549309311553,0.16515420410943848,0.07876496863565428
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,6.33,0.8620689655172414,4.43,56.21,39.36,33.93234221898454,0.5,0.05365,0.0641,10.73,12.82,0.4054651081081644,0.0522603266610848,0.06212937146554879
