Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP,Predicted_BA_GP,Observed_Bioaccessible_Cd_GP,Predicted_Bioaccessible_Cd_GP,Predicted_Risk_Group
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,6.98,27.99,1.7,48.2,50.1,33.150080467424,2.91,0.908502,0.7045110000000001,31.22,24.210000000000004,1.3635373739972745,0.6463186411460095,0.5332782660804238,58.126526137723275,0.908502,1.6914819106077474,Medium
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,6.07,73.91,0.02,36.36,63.62,66.9044832158811,2.06,0.791452,0.555582,38.42,26.97,1.118414915964289,0.5830264642138634,0.4418497521345408,38.497952027053806,0.791452,0.7930578117573084,Low
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,5.87,43.02,0.65,25.98,73.37,37.97612735550134,1.25,0.631875,0.5539999999999999,50.55,44.31999999999999,0.8109302162163288,0.4897296604712562,0.4408322519454556,51.606911690144656,0.631875,0.6450863961268083,Low
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,6.01,66.52,0.51,19.77,79.71,67.56983208843012,1.68,0.5883360000000001,0.523824,35.02000000000001,31.18,0.9858167945227652,0.4626869273453557,0.4212229650311788,40.21193421029232,0.5883360000000002,0.675560494732911,Low
1.0,西南某矿区土壤重金属的人体生物有效性及健康风险评估,Mining/smelting soils,SBRC,5.75,46.44,0.02,22.2,77.78,63.90622943370554,2.39,0.580531,0.544442,24.29,22.78,1.220829921392359,0.4577608665273704,0.4346626800653612,48.88556844353469,0.580531,1.168365085800479,Medium
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,6.76,16.73,6.32,34.4,59.28,27.45,2.58,2.366118,0.7618740000000002,91.71,29.530000000000005,1.275362800412609,1.2137601516009726,0.566378015308924,48.77649412645942,2.3661179999999997,1.258433548462653,Medium
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,7.49,0.64,5.72,19.63,74.64,29.38,0.59,0.190098,0.2584199999999999,32.22,43.79999999999999,0.4637340162321401,0.1740356566737971,0.2298569658333468,55.0297376644352,0.190098,0.3246754522201677,Low
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,7.6,2.07,7.43,27.97,64.6,37.96,1.51,0.91053,0.62665,60.3,41.5,0.9202827531436926,0.6473806904771608,0.4865226852428172,45.11395853368519,0.91053,0.6812207738586464,Low
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,6.3,4.32,6.6,20.88,68.95,32.79,154.03,90.662058,59.31695299999999,58.86,38.50999999999999,5.04361864657827,4.518108531370927,4.099613208498099,60.86818982679029,90.662058,93.75527279020508,High
2.0,应用四种体外消化方法比较研究场地土壤中重金属的生物可给性及其人体健康风险,Mining/smelting soils,PBET,8.49,4.6,2.76,10.82,86.41,14.81,0.8,0.4892,0.33056,61.150000000000006,41.32,0.5877866649021191,0.3982390630164247,0.2855999062474564,45.1571920155322,0.4892000000000001,0.3612575361242576,Low
