Feature_group,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_samples,n_cv_runs
Total-Cd-only,Ridge Regression,22.033643179751625,1.901849165627148,26.063795944177645,2.0412299852493097,0.09009234913116558,0.0894739037600568,190,50
Total-Cd-only,Random Forest,21.094098954666475,3.0072396756398203,26.41550417014297,3.6244414686899358,0.05468095435655711,0.21722003080559585,190,50
Total-Cd-only,Gradient Boosting,21.119977050621358,2.7293004771370515,26.693902215648098,3.361113033709593,0.03572119670786103,0.2094630802312808,190,50
Total-Cd-only,XGBoost,21.063797930691326,2.8615249663082776,26.549175893339434,3.3170950467684315,0.04726930916528629,0.2011844923058381,190,50
Soil-properties-only,Ridge Regression,21.867539944540553,2.2796424395794572,25.91376771967284,2.3152596674935255,0.09794127113241169,0.12532992324825257,190,50
Soil-properties-only,Random Forest,17.756021419801822,2.152646698967905,22.2801203089756,2.601099858092293,0.3305779866183133,0.12983426929001352,190,50
Soil-properties-only,Gradient Boosting,18.29356385637087,2.2060621601808763,23.078144341123203,2.5601604400152853,0.28128753144975954,0.1375994917173495,190,50
Soil-properties-only,XGBoost,18.312041816131043,2.1444801953227097,22.93999337255526,2.5518472360379016,0.29078512553370456,0.13156700544619043,190,50
Cd + Soil,Ridge Regression,20.807532659290665,2.3842607960434146,25.461555953299754,2.58594074487782,0.1271225788567552,0.1498215660831267,190,50
Cd + Soil,Random Forest,17.115521846163382,2.231565774856497,21.518198801158825,2.656824835283069,0.3749637511164293,0.1288991476401062,190,50
Cd + Soil,Gradient Boosting,17.80627539210694,2.3284707493287966,22.728996003261113,2.876241898414488,0.2998503551857553,0.1604098759248786,190,50
Cd + Soil,XGBoost,17.6811034687798,2.274196361109504,22.301458031148076,2.8041302932730767,0.3275949042506913,0.14650882380373406,190,50
Cd + Soil + Method,Ridge Regression,20.258617004327053,2.4467004234092955,25.14043954168334,2.84838884301273,0.14550991723077825,0.17923199380447474,190,50
Cd + Soil + Method,Random Forest,16.678183149817176,2.2917469152386896,21.04423132841487,2.671240513907379,0.40205875668759594,0.12876438987962008,190,50
Cd + Soil + Method,Gradient Boosting,17.41266572867695,2.3126466073051066,22.209776099656374,2.842488675670583,0.33153581406644345,0.15345054655252363,190,50
Cd + Soil + Method,XGBoost,16.89788532903311,2.2169373241046966,21.426919394578164,2.696186827174295,0.3795381745586716,0.13688535133263158,190,50
Full-feature,Ridge Regression,19.850405101098573,2.6150373536803335,24.60169009057714,2.8830598833667307,0.18230654805903249,0.17060181088274853,190,50
Full-feature,Random Forest,16.14802231356106,2.2319282506491627,20.5020641865111,2.654119433738745,0.43223214618570993,0.12425844654966871,190,50
Full-feature,Gradient Boosting,16.633806130925542,2.2186479181534193,21.483747931784528,2.874485291071277,0.374335289426881,0.14714821892482816,190,50
Full-feature,XGBoost,16.239840938297153,2.2315326979131127,20.807308904808306,2.784829133000476,0.4134954356747837,0.13873914638094126,190,50
